"STOCK LIST AS AT 06.04.26, 11.16AM",,,,,,
,,,,,,
,,,,,,
BIN,Item Code,Description,Desc 2,Total Bal. Qty,Cost,Item Group
WHEEL,AW-ASR181-022200-001,AUXILIARY WHEEL FOR HC REACH TRUCK CQD20-AC2S-I (C-SERIES),辅助轮体,2,149.61,WHEEL
WHEEL,BTD21070/80R,RECOATING BT DRIVE WHEEL 210MMX165MMX75MM,210X165X75,1,210,WHEEL
WHEEL,CW-BT-125X90X50/60-LNM,REACOATING CASTER WHEEL 125X90X50/60 [LPE],125X90X50/60,6,65,WHEEL
WHEEL,CW-BT-R-230X165X75,RECOATING DRIVE WHEEL STACKER 230MMX165MMX75MM ,230X165X75,,210,WHEEL
WHEEL,CW-BT-R-230X175X75,RECOATING DRIVE WHEEL STACKER 230MMX175MMX75MM ,230X175X75,0,238,WHEEL
WHEEL,CW-BT-R-230X175X80,RECOATING DRIVE WHEEL STACKER 230MMX175MMX80MM ,230X175X80,,238,WHEEL
WHEEL,CW-BT-R-230X175X85,RECOATING DRIVE WHEEL STACKER 230MMX175MMX85MM ,230X175X85,3,238,WHEEL
WHEEL,DW-20RH-110000,DRIVE WHEEL FOR HC REACH TRUCK CQD20-AC2S-I (C-SERIES),车轮,1,969.93,WHEEL
WHEEL,DW-BT-230X170X70-LNM,DRIVE WHEEL 230X170X70 [LPE],230X170X70,0,220,WHEEL
WHEEL,DW-BT-R-210X160X80,RECOATING BT DRIVE WHEEL 210X160X80MM [STACKER],210X160X80,0,210,WHEEL
WHEEL,DW-BT-R-210X165X75,RECOATING BT DRIVE WHEEL 210MMX165MMX75MM [STACKER],210X165X75,0,210,WHEEL
WHEEL,DW-BT-R-210X165X85,RECOATING BT DRIVE WHEEL 210MMX165MMX85MM,210X165X85,,210,WHEEL
WHEEL,DW-BT-R-210X175X75,RECOATING BT DRIVE WHEEL 210X175X75MM,210X175X75,0,280,WHEEL
WHEEL,DW-BT-R-210X175X85,RECOATING BT DRIVE WHEEL 210X175X85MM [STACKER],210X175X85,0,210,WHEEL
WHEEL,DW-BT-R-230X170X70,BT DRIVE WHEEL PU RECOATING 230MMX170MMX70MM BROWN,230X170X70,0,238,WHEEL
WHEEL,DW-BT-R-230X170X70-LNM,BT DRIVE WHEEL PU RECOATING 230MMX170MMX70MM [LNM],230X170X70,0,220,WHEEL
WHEEL,DW-BT-R-300X250X120,RECOATING BT DRIVE WHEEL PU 300MMX250MMX120MM [LNM],300X250X120 [RRB2],4,350,WHEEL
WHEEL,DW-BT-R-310X240X120,RECOATING BT DRIVE WHEEL 310MMX240MMX120MM [PU],310X240X120,1,454,WHEEL
WHEEL,DW-BT-R-310X245X120,RECOATING BT DRIVE WHEEL 310MMX245MMX120MM [PU],310X245X120,1,454,WHEEL
WHEEL,DW-BT-R-310X254X120,RECOATING BT DRIVE WHEEL RRE16 310MMX254MMX120MM,310X254X120,0,454,WHEEL
WHEEL,DW-BT-R-310X254X125,RECOATING BT DRIVE WHEEL 310MMX254MMX125MM [PU],310X254X125,0,454,WHEEL
WHEEL,DW-BT-R-310X254X152,RECOATING BT DRIVE WHEEL 310MMX254MMX152MM,310X254X152,0,454,WHEEL
WHEEL,DW-BT-R-343X275X135,RECOATING BT DRIVE WHEEL 343MMX275MMX135MM [PU],343X275X135,0,567,WHEEL
WHEEL,DW-BT-R-350X270X140MM,RECOATING BT DRIVE WHEEL RRE20 350MMX270MMX140MM ,350X270X140,0,567,WHEEL
WHEEL,DW-BT-R-350X275X135MM,RECOATING BT DRIVE WHEEL RRE20 350MMX275MMX135MM ,350X275X135,0,567,WHEEL
WHEEL,DW-BT-R-350X275X140MM,RECOATING BT DRIVE WHEEL RRE20 350MMX275MMX140MM ,350X275X140,0,567,WHEEL
WHEEL,DW-BT-R-360X310X160 -LNM,BT DRIVE WHEEL PU RECOATING 360MMX310MMX160MM [LNM],360X310X160 [RRE200],0,630,WHEEL
WHEEL,DW-BT-R-404X360X106,RECOATING BT DRIVE WHEEL 404MMX360MMX106MM,BT20 RRE8,0,964,WHEEL
WHEEL,DW-BT-R-404X360X160,RECOATING BT DRIVE WHEEL 404MMX360MMX160MM,BT20,0,964,WHEEL
WHEEL,DW-BT-R-404X360X165,RECOATING BT DRIVE WHEEL 404MMX360MMX165MM,,1,964,WHEEL
WHEEL,DW-BT-R-404X370X160,RECOATING BT DRIVE WHEEL 404MMX370MMX160MM,,1,964,WHEEL
WHEEL,DW-C-215x79/89x60 MDI,DRIVE WHEEL,215x79/89x60 MDI,5,131.22,WHEEL
WHEEL,DW-C-310X120,DRIVE WHEEL (220400) 310x120x80 7 HOLES,310X120x80 BT1.6 OLD,3,363.83,WHEEL
WHEEL,DW-C-330X145X194,DRIVE WHEEL ,330X145X194,0,475.16,WHEEL
WHEEL,DW-C-350X127,DRIVE WHEEL (220403) 350x127x80 7 HOLES,350x127x80 BT2.5 OLD,3,467.79,WHEEL
WHEEL,DW-C-350X140,DRIVE WHEEL (201332) 350x140x80 MDI,350x140x80 BT1.6 NEW,9,472.72,WHEEL
WHEEL,DW-C-350X140X80,7 HOLE TYRE DRIVE WHEEL ,350X140X80,0,487.7745,WHEEL
WHEEL,DW-C-400X160,DRIVE WHEEL (238970) 400x160x80 MDI,400x160x80 BT2.5 NEW,3,671.4,WHEEL
WHEEL,DW-EP-230X185X70-LNM,RECOATING DRIVE WHEEL 230X185X70,230X185X70 ,1,220,WHEEL
WHEEL,DW-HC-R-D-245X200X80,RECOATING HANGCHA DRIVE WHEEL 245MMX200MMX80MM ,245X200X80 [CBD30],1,228,WHEEL
WHEEL,DW-HPT-200X50[NYLON],HPT STEERING WHEEL 200X50MM [NYLON],200X50 [NYLON],21,42,WHEEL
WHEEL,DW-HPT-200X50[PU],HPT STEERING WHEEL 200X50MM [PU],200X50 [PU],16,75,WHEEL
WHEEL,DW-PT-250X195X85,RECOATING PT DRIVE WHEEL 250X195X85MM,250X195X85,1,280,WHEEL
WHEEL,DW-PU-215X185X75-LNM,RECOATING DRIVE WHEEL 215X185X75,215X185X75,1,230,WHEEL
WHEEL,DW-PU-330X194X145 [WIRE MESH],DRIVE WHEEL 330X194X145 [WIRE MESH] LNM,DRIVE WHEEL 330X194X145 [RIM] C/W WIRE MESH LNM,2,580,WHEEL
WHEEL,DW-TYT-R-315X180X145,RECOATING TOYOTA DRIVE WHEEL 315MMX180MMX145MM NYK 2IN1,315X180X145,,259.08,WHEEL
WHEEL,DW-TYT-R-315X180X145[NYK],RECOATING TOYOTA DRIVE WHEEL 315MMX180MMX145MM [NYK],315X180X145,1,306,WHEEL
WHEEL,DW-TYT-R-330MMX194 5/6/7FBR15,TOYOTA DRIVE WHEEL 5/6/7FBR15-[330MMX194MMX145MM] [PU]-RECOATING 2IN1,330X194X145 2IN1,2,588,WHEEL
WHEEL,DW-TYT-R-330X194X145,TOYOTA DRIVE WHEEL 5/6/7FBR15-[330MMX194MMX145MM] [PU]-RECOATING ,330X194X145,6,266.32,WHEEL
WHEEL,DW-TYT-R-330X194X145-WM,TOYOTA DRIVE WHEEL 5/6/7FBR15-[330MMX194MMX145MM] [PU]- WIRE MESH,330X194X145,1,703,WHEEL
WHEEL,DW-TYT-R-343X275X140,TOYOTA DRIVE WHEEL 8FBR16-[343MMX275MMX140MM] [PU]-RECOATING ,343X275X140,,567,WHEEL
WHEEL,DW-TYT-R-350X275X146,TOYOTA DRIVE WHEEL 8FBR20-[350MMX275MMX146MM] [PU]-RECOATING ,350X275X146,1,567,WHEEL
WHEEL,DW-TYT-R-350X285X140,TOYOTA DRIVE WHEEL 8FBR16-[350MMX285MMX140MM] [PU]-RECOATING ,350X285X140,1,567,WHEEL
